SqFt,Bedrooms,BHK,Bathrooms,HouseAgeYears,DistanceToCityKm,SchoolRating,CrimeIndex,Latitude,Longitude,SellerName,ContactNumber,Address,PriceUSD
1941.0,3,3,2.0,71,14.8,5,50.1,21.13655,79.2313,Pooja Mehta,+91 832370 1761,"127, Civil Lines, Civil Lines",283370.0
1669.0,5,5,1.5,65,8.5,10,67.7,21.07865,79.12707,Pooja Patel,+91 602128 8228,"382, Ring Road, Sadar",302453.0
1424.0,5,5,2.5,67,17.1,2,16.8,21.10791,78.92803,Aarav Chauhan,+91 842748 8795,"802, Green Valley Road, Laxmi Nagar",197758.0
1964.0,3,3,2.0,40,2.7,3,81.6,21.14437,79.1139,Meera Nair,+91 750119 2647,"379, Market Street, Sitabuldi",262809.0
1472.0,5,5,1.0,76,6.4,2,31.1,21.09554,79.11786,Neha Deshmukh,+91 939524 3730,"293, MG Road, Laxmi Nagar",252354.0
1392.0,1,1,3.0,33,6.9,1,9.3,21.19293,79.13109,Sneha Reddy,+91 679280 3036,"548, Church Street, Ramdaspeth",199347.0
2002.0,5,5,3.0,72,2.8,7,76.6,21.13238,79.06586,Arjun Reddy,+91 698963 9089,"643, Green Valley Road, Laxmi Nagar",356520.0
1539.0,2,2,1.0,31,16.3,3,70.5,21.07423,78.95038,Aditya Bose,+91 906869 2680,"349, Hill Top Road, Wardha Road",197848.0
1959.0,3,3,3.0,35,1.6,8,88.4,21.13375,79.07918,Arjun Patel,+91 659487 2344,"4, Market Street, Sitabuldi",302011.0
1978.0,2,2,1.5,54,13.1,5,89.2,21.10284,79.20616,Kavya Joshi,+91 856466 9851,"298, College Road, Wardha Road",254117.0
1059.0,3,3,3.5,31,26.6,7,27.9,21.15779,78.83164,Arjun Reddy,+91 733295 9175,"80, Station Road, Sadar",170841.0
1487.0,2,2,3.0,11,2.1,1,64.1,21.15461,79.10607,Neha Iyer,+91 773536 1647,"145, Green Valley Road, Civil Lines",263403.0
2735.0,4,4,1.0,71,3.1,4,99.9,21.14938,79.05877,Diya Kulkarni,+91 701632 9905,"610, Station Road, Trimurti Nagar",380292.0
1045.0,1,1,2.5,36,5.9,5,24.4,21.09379,79.1017,Rahul Deshmukh,+91 867286 8680,"179, Park Avenue, Pratap Nagar",210836.0
424.0,5,5,1.5,74,34.7,1,47.3,21.38872,78.87653,Diya Rao,+91 625317 9566,"370, Hill Top Road, Manish Nagar",42921.0
590.0,5,5,3.5,31,0.8,5,91.0,21.14698,79.09555,Ishaan Mehta,+91 846812 1766,"392, Sunrise Boulevard, Gandhibagh",144121.0
1819.0,3,3,1.5,77,2.2,5,10.3,21.1648,79.08112,Sneha Sharma,+91 965816 8270,"878, Sunrise Boulevard, Ramdaspeth",277418.0
1820.0,3,3,1.0,48,6.4,5,92.8,21.09337,79.06267,Kabir Gupta,+91 713934 7760,"154, Ring Road, Ramdaspeth",242276.0
1724.0,4,4,1.5,61,0.7,6,48.8,21.14927,79.0944,Sai Deshmukh,+91 882572 6512,"83, Sunrise Boulevard, Wardha Road",312559.0
2589.0,1,1,1.5,60,14.3,8,89.3,21.23648,78.98978,Rahul Mehta,+91 970343 4909,"534, Lake View Lane, Ramdaspeth",351727.0
400.0,4,4,1.5,16,1.6,8,62.1,21.15664,79.09869,Arjun Sharma,+91 979690 7790,"623, Station Road, Hingna Road",140046.0
2057.0,2,2,2.5,65,0.5,1,67.1,21.14648,79.08343,Vivaan Chauhan,+91 855064 4676,"502, Church Street, Gandhibagh",252321.0
2815.0,4,4,2.0,75,2.7,7,77.3,21.16492,79.10483,Ananya Nair,+91 939234 3391,"702, Station Road, Sitabuldi",432340.0
1067.0,2,2,2.0,52,16.8,10,6.7,21.24145,79.21371,Diya Reddy,+91 954022 4453,"863, Market Street, Manish Nagar",195897.0
1553.0,4,4,1.5,75,1.5,9,62.8,21.13263,79.08339,Rahul Nair,+91 873896 1885,"610, Station Road, Ramdaspeth",252369.0
1311.0,4,4,1.0,67,0.6,4,92.4,21.15065,79.09159,Amit Iyer,+91 637676 8973,"537, Sunrise Boulevard, Trimurti Nagar",235021.0
1219.0,2,2,3.0,53,3.6,8,95.6,21.17282,79.10794,Aarav Rao,+91 998409 5460,"680, Market Street, Trimurti Nagar",186995.0
1588.0,4,4,1.0,38,15.6,9,96.8,21.06881,78.96256,Vikram Patel,+91 781256 0519,"214, Park Avenue, Manish Nagar",230173.0
2728.0,3,3,1.5,68,2.1,4,64.6,21.15098,79.10795,Amit Patel,+91 834611 9526,"249, Market Street, Dharampeth",362148.0
2994.0,2,2,2.0,14,12.3,9,63.3,21.16858,79.20433,Rohan Bose,+91 887468 2793,"370, Park Avenue, Laxmi Nagar",393623.0
1582.0,3,3,1.0,44,12.0,7,55.2,21.19084,78.9831,Ananya Deshmukh,+91 780320 6538,"766, Civil Lines, Hingna Road",246301.0
3038.0,5,5,2.5,65,2.8,8,60.8,21.165,79.07003,Vikram Iyer,+91 928680 9077,"851, Station Road, Hingna Road",427656.0
1823.0,1,1,3.5,75,5.4,8,61.2,21.13239,79.03826,Meera Agarwal,+91 810011 9280,"554, Church Street, Pratap Nagar",250899.0
2940.0,5,5,1.0,21,2.6,8,4.2,21.14483,79.11366,Ananya Deshmukh,+91 864572 0285,"619, Civil Lines, Dharampeth",450444.0
1739.0,5,5,3.5,7,2.3,10,8.9,21.15401,79.06797,Vikram Kulkarni,+91 998100 1408,"787, College Road, Gandhibagh",339324.0
1885.0,3,3,2.5,26,7.2,9,61.9,21.11608,79.02668,Sneha Kulkarni,+91 747804 6982,"242, MG Road, Sadar",287160.0
2038.0,4,4,2.0,69,27.0,5,31.4,21.0274,79.31654,Kavya Bose,+91 927624 9239,"122, Lake View Lane, Pratap Nagar",273005.0
3866.0,2,2,2.0,41,3.8,6,30.1,21.14943,79.05148,Aarav Agarwal,+91 662282 7423,"745, Green Valley Road, Laxmi Nagar",527130.0
2353.0,1,1,2.5,4,31.8,7,19.3,20.86452,79.14794,Sneha Gupta,+91 878092 6228,"127, Park Avenue, Wardha Road",322038.0
1340.0,3,3,1.0,9,4.6,9,80.1,21.13333,79.04585,Rohan Kulkarni,+91 679020 4492,"158, Church Street, Hingna Road",299365.0
2430.0,5,5,1.0,27,8.0,4,96.4,21.09101,79.03784,Ritu Patel,+91 669043 0423,"395, Ring Road, Gandhibagh",340021.0
1565.0,2,2,3.5,27,4.0,4,62.8,21.13093,79.12351,Rohan Rao,+91 625373 6538,"785, Station Road, Wardha Road",265210.0
1482.0,4,4,1.0,10,1.5,8,94.5,21.14586,79.1024,Aarav Verma,+91 975577 7124,"390, Hill Top Road, Manish Nagar",279032.0
2391.0,4,4,3.0,39,0.5,10,88.4,21.14317,79.09212,Diya Patel,+91 753835 6357,"119, Station Road, Pratap Nagar",378964.0
1820.0,4,4,2.0,38,20.0,10,21.8,21.14841,78.89515,Ananya Kulkarni,+91 739577 8657,"129, MG Road, Pratap Nagar",301664.0
1981.0,2,2,3.0,15,3.0,2,15.4,21.12908,79.06561,Ananya Iyer,+91 748572 1587,"253, Civil Lines, Dharampeth",312999.0
1809.0,2,2,2.0,18,23.9,10,21.2,21.21235,78.86832,Ritu Patel,+91 838659 7202,"82, Church Street, Dharampeth",285672.0
2019.0,3,3,2.0,53,4.6,8,9.6,21.18708,79.08516,Arjun Bose,+91 911596 4275,"328, MG Road, Hingna Road",311455.0
2076.0,5,5,2.5,76,0.5,2,58.3,21.14762,79.09262,Pooja Bose,+91 804140 2811,"81, Sunrise Boulevard, Hingna Road",291491.0
541.0,5,5,2.5,79,6.3,1,28.3,21.12674,79.14511,Ishaan Gupta,+91 629967 9240,"844, Station Road, Pratap Nagar",114179.0
2233.0,3,3,1.5,44,17.5,3,91.3,21.03481,78.9675,Riya Joshi,+91 859074 9541,"53, Civil Lines, Sadar",229657.0
1162.0,5,5,2.0,3,8.2,10,61.3,21.09326,79.14347,Ishaan Reddy,+91 659008 2664,"198, Civil Lines, Sadar",286129.0
863.0,3,3,2.0,71,14.7,8,36.0,21.27391,79.05219,Kabir Agarwal,+91 646219 0175,"34, Park Avenue, Dharampeth",204975.0
1762.0,2,2,1.0,76,5.9,6,98.5,21.19806,79.07824,Ishaan Kulkarni,+91 631305 4984,"291, Sunrise Boulevard, Sitabuldi",231635.0
1855.0,1,1,3.5,22,1.8,7,95.3,21.15986,79.07918,Sai Nair,+91 856260 9982,"807, Lake View Lane, Wardha Road",302053.0
1349.0,4,4,2.5,32,4.1,5,77.9,21.18269,79.09293,Neha Chauhan,+91 975903 0910,"576, Hill Top Road, Ramdaspeth",257759.0
2340.0,4,4,1.5,2,7.7,10,79.2,21.14669,79.01374,Pooja Deshmukh,+91 619513 4821,"934, Hill Top Road, Sadar",341118.0
928.0,5,5,3.5,64,15.4,2,97.7,21.09177,79.22498,Vikram Patel,+91 974144 2208,"616, Park Avenue, Wardha Road",160632.0
1535.0,4,4,1.5,62,1.1,4,60.0,21.13884,79.09576,Rahul Nair,+91 705083 9033,"425, Park Avenue, Sitabuldi",228602.0
1420.0,1,1,2.0,1,18.4,3,88.0,21.15091,78.91031,Neha Agarwal,+91 704445 1246,"957, College Road, Sitabuldi",246681.0
1770.0,3,3,2.0,56,0.5,9,6.5,21.14946,79.08539,Arjun Joshi,+91 634960 3088,"187, MG Road, Pratap Nagar",302991.0
1981.0,4,4,2.5,32,0.5,6,55.4,21.14289,79.08451,Sai Verma,+91 642717 8151,"113, Lake View Lane, Sitabuldi",348164.0
1145.0,3,3,3.5,43,2.3,7,50.3,21.13243,79.07137,Ishaan Deshmukh,+91 866092 4297,"328, Market Street, Wardha Road",216216.0
2271.0,3,3,3.0,17,10.3,10,3.8,21.06069,79.04786,Sneha Rao,+91 793552 9894,"928, Park Avenue, Dharampeth",435998.0
1841.0,5,5,2.0,65,1.0,2,8.7,21.14382,79.07889,Vikram Gupta,+91 611586 7789,"817, Civil Lines, Hingna Road",281782.0
570.0,4,4,3.5,32,21.1,10,2.2,21.17756,79.28882,Meera Agarwal,+91 837260 0159,"536, Ring Road, Wardha Road",190871.0
527.0,4,4,3.5,67,10.4,2,29.4,21.18889,79.17742,Meera Chauhan,+91 755685 7494,"928, Station Road, Pratap Nagar",128383.0
1792.0,3,3,3.5,11,1.5,8,5.4,21.14352,79.10291,Ananya Joshi,+91 789833 7967,"646, Park Avenue, Sitabuldi",345996.0
1656.0,2,2,2.5,47,2.0,8,42.3,21.1279,79.08775,Suman Kulkarni,+91 948465 8781,"239, Civil Lines, Manish Nagar",279603.0
1733.0,3,3,1.5,24,1.4,9,81.3,21.14176,79.10104,Anjali Gupta,+91 729176 3008,"6, Ring Road, Manish Nagar",271786.0
1782.0,5,5,1.5,77,6.1,2,61.4,21.19244,79.05668,Diya Deshmukh,+91 717131 6169,"31, Hill Top Road, Laxmi Nagar",186167.0
1947.0,4,4,2.0,44,10.7,10,67.4,21.12474,78.98701,Vikram Chauhan,+91 876987 5361,"848, Sunrise Boulevard, Sadar",334551.0
2416.0,4,4,2.0,57,1.8,8,3.2,21.16075,79.08041,Ananya Gupta,+91 988276 8879,"309, Station Road, Civil Lines",374772.0
1078.0,1,1,1.5,6,2.1,2,84.0,21.13543,79.10547,Aditya Bose,+91 834182 5126,"422, MG Road, Laxmi Nagar",198363.0
1038.0,5,5,1.0,54,4.4,6,14.6,21.1839,79.07833,Arjun Verma,+91 725462 4051,"385, Civil Lines, Sadar",216430.0
1089.0,2,2,3.0,8,0.5,9,30.3,21.14157,79.08653,Pooja Nair,+91 778483 8554,"89, Station Road, Sitabuldi",269734.0
1988.0,5,5,3.5,28,25.0,5,51.7,21.34619,79.19758,Neha Verma,+91 697474 8482,"4, Hill Top Road, Sitabuldi",315068.0
2609.0,3,3,3.0,17,0.9,4,93.0,21.15083,79.09513,Pooja Nair,+91 656540 9218,"726, Sunrise Boulevard, Pratap Nagar",318802.0
1520.0,5,5,1.0,0,4.8,3,99.8,21.18146,79.11396,Sai Mehta,+91 907372 7955,"681, Lake View Lane, Pratap Nagar",263701.0
400.0,5,5,1.0,46,6.4,6,78.3,21.13522,79.02762,Neha Chauhan,+91 863560 4524,"225, Park Avenue, Gandhibagh",100530.0
692.0,4,4,1.0,19,3.7,10,72.9,21.11802,79.10832,Vivaan Patel,+91 735286 6802,"125, Station Road, Sadar",203489.0
1259.0,5,5,3.5,41,15.5,7,52.8,21.14517,79.23772,Vikram Chauhan,+91 916379 3344,"515, College Road, Civil Lines",241471.0
1437.0,4,4,2.5,61,3.4,8,66.6,21.12447,79.06465,Sai Bose,+91 933344 4264,"82, Church Street, Manish Nagar",260656.0
1535.0,5,5,3.5,14,3.4,8,14.4,21.1393,79.0557,Aditya Sharma,+91 827835 9323,"290, Station Road, Hingna Road",306091.0
1825.0,1,1,2.5,56,7.2,8,26.9,21.0828,79.10414,Kabir Bose,+91 744625 1923,"718, Sunrise Boulevard, Wardha Road",254840.0
1597.0,1,1,2.5,23,5.1,5,98.5,21.16358,79.13324,Sneha Chauhan,+91 813956 5373,"174, Sunrise Boulevard, Wardha Road",221285.0
2482.0,3,3,2.0,26,7.9,8,98.0,21.07965,79.11597,Sanjay Sharma,+91 979017 1725,"770, Sunrise Boulevard, Pratap Nagar",313371.0
1361.0,5,5,3.0,46,1.7,4,32.3,21.1308,79.08905,Ritu Sharma,+91 863892 7628,"883, Market Street, Civil Lines",237206.0
1239.0,4,4,2.0,50,5.2,6,24.1,21.13722,79.03921,Kabir Kulkarni,+91 732719 3468,"184, Sunrise Boulevard, Gandhibagh",190410.0
2111.0,3,3,2.0,52,4.0,4,23.0,21.15105,79.12687,Riya Nair,+91 873735 6500,"665, Park Avenue, Trimurti Nagar",280094.0
802.0,3,3,3.5,15,4.0,10,48.5,21.18058,79.09975,Neha Gupta,+91 910712 3180,"767, Station Road, Civil Lines",207387.0
2053.0,4,4,2.0,46,2.9,8,22.4,21.16486,79.06908,Amit Nair,+91 712021 3197,"519, Sunrise Boulevard, Manish Nagar",353700.0
1867.0,5,5,3.0,21,4.9,6,64.8,21.12994,79.13215,Rahul Iyer,+91 665691 5148,"297, Green Valley Road, Sitabuldi",316226.0
1704.0,5,5,2.0,22,3.7,5,7.5,21.12035,79.06518,Vivaan Bose,+91 866087 3357,"982, Park Avenue, Sitabuldi",296259.0
2832.0,1,1,3.0,75,35.4,6,10.4,21.12557,78.74669,Ishaan Gupta,+91 858268 7344,"308, Hill Top Road, Hingna Road",314304.0
1396.0,3,3,2.5,8,17.7,8,27.7,21.15737,78.91792,Riya Verma,+91 931162 7743,"247, Lake View Lane, Sitabuldi",239030.0
3139.0,2,2,2.0,33,1.9,3,77.7,21.12878,79.09168,Kavya Agarwal,+91 690268 4729,"123, Church Street, Gandhibagh",400476.0
1653.0,4,4,1.0,35,0.5,9,32.3,21.14983,79.08604,Anjali Agarwal,+91 957147 4981,"905, Market Street, Sadar",295630.0
970.0,3,3,2.0,19,0.7,3,47.1,21.14936,79.09385,Pooja Chauhan,+91 983547 4452,"227, Market Street, Civil Lines",150605.0
1845.0,5,5,1.0,62,2.7,2,65.7,21.12372,79.07652,Vivaan Bose,+91 840062 6764,"134, MG Road, Gandhibagh",285085.0
1100.0,3,3,2.5,38,5.9,8,78.9,21.19226,79.06121,Riya Sharma,+91 657342 2001,"39, Ring Road, Hingna Road",185721.0
1311.0,4,4,3.0,57,5.8,8,30.7,21.19251,79.06245,Diya Deshmukh,+91 676077 9905,"291, Church Street, Manish Nagar",253027.0
2058.0,1,1,2.0,30,4.3,4,73.1,21.15678,79.04795,Neha Reddy,+91 782503 9729,"671, Green Valley Road, Civil Lines",308750.0
2161.0,5,5,2.0,71,19.6,7,28.6,21.32251,79.09686,Vivaan Nair,+91 623462 2621,"683, Sunrise Boulevard, Sitabuldi",320176.0
1396.0,1,1,1.0,58,15.0,8,64.4,21.08199,79.21586,Pooja Nair,+91 813007 5126,"850, Sunrise Boulevard, Civil Lines",208904.0
2442.0,2,2,3.0,26,18.9,8,45.1,21.00603,79.19278,Ishaan Bose,+91 988284 2514,"667, Park Avenue, Gandhibagh",298516.0
2552.0,5,5,2.5,76,1.3,10,92.7,21.14515,79.10057,Ritu Rao,+91 745103 9556,"49, Hill Top Road, Ramdaspeth",371224.0
2734.0,5,5,2.0,69,1.3,9,98.2,21.14322,79.10043,Ritu Gupta,+91 852926 8691,"841, MG Road, Laxmi Nagar",426899.0
2144.0,3,3,1.0,47,10.7,5,77.4,21.23445,79.04745,Sanjay Verma,+91 960516 3188,"255, Green Valley Road, Pratap Nagar",302659.0
2686.0,3,3,1.0,1,1.0,3,91.5,21.15209,79.08097,Aditya Joshi,+91 912068 2474,"955, Green Valley Road, Ramdaspeth",427675.0
577.0,1,1,1.0,47,10.0,1,13.7,21.06001,79.05719,Diya Agarwal,+91 877774 3615,"346, Ring Road, Hingna Road",134040.0
1593.0,5,5,3.0,55,0.7,6,65.4,21.1464,79.09459,Aarav Kulkarni,+91 607643 5669,"17, College Road, Manish Nagar",282091.0
1236.0,1,1,3.5,29,6.1,7,19.8,21.14368,79.14737,Riya Bose,+91 610611 2703,"392, Civil Lines, Manish Nagar",220097.0
1877.0,1,1,1.0,11,0.5,7,27.7,21.14613,79.09346,Pooja Sharma,+91 918702 4414,"450, Market Street, Pratap Nagar",280663.0
1429.0,3,3,1.5,45,2.6,1,52.3,21.14123,79.06378,Kavya Nair,+91 982134 2107,"823, Station Road, Hingna Road",201592.0
1692.0,1,1,3.5,64,2.8,8,74.2,21.12403,79.07512,Aarav Mehta,+91 912750 1439,"552, Ring Road, Civil Lines",244878.0
3023.0,1,1,2.0,25,12.2,8,72.1,21.08913,79.18969,Sai Agarwal,+91 710590 8944,"43, Civil Lines, Ramdaspeth",394184.0
1690.0,4,4,1.5,36,0.9,8,86.9,21.13931,79.08274,Rohan Reddy,+91 696529 2385,"48, Lake View Lane, Laxmi Nagar",256725.0
2069.0,4,4,2.0,0,9.7,6,55.9,21.09591,79.01155,Priya Kulkarni,+91 879617 5119,"613, Sunrise Boulevard, Civil Lines",342323.0
1649.0,2,2,1.5,56,2.6,1,92.6,21.16774,79.0805,Ananya Gupta,+91 814988 7428,"84, Church Street, Hingna Road",254765.0
1849.0,4,4,1.0,69,6.8,5,88.8,21.11288,79.03329,Sanjay Joshi,+91 653930 6466,"532, Park Avenue, Gandhibagh",277998.0
1804.0,4,4,2.0,62,18.4,7,84.9,20.9803,79.08787,Kabir Deshmukh,+91 763239 7397,"896, Station Road, Trimurti Nagar",240125.0
2091.0,2,2,3.0,34,11.7,6,23.0,21.13553,78.97617,Sai Agarwal,+91 758951 4260,"837, Hill Top Road, Dharampeth",341310.0
2557.0,4,4,3.5,3,13.3,6,53.1,21.02838,79.11192,Kabir Nair,+91 744365 2841,"631, Green Valley Road, Gandhibagh",401586.0
2871.0,3,3,1.5,39,27.0,6,73.6,21.24874,79.32423,Anjali Rao,+91 963676 9639,"306, MG Road, Gandhibagh",359656.0
2001.0,5,5,2.0,75,0.8,6,97.6,21.1523,79.08405,Sai Chauhan,+91 757399 9386,"515, MG Road, Trimurti Nagar",293397.0
2183.0,1,1,3.5,6,23.6,4,1.2,21.09274,79.3087,Suman Joshi,+91 909553 8035,"102, Hill Top Road, Pratap Nagar",308144.0
1052.0,2,2,3.5,17,21.9,7,32.7,21.32271,78.99388,Sneha Iyer,+91 612658 8038,"738, Market Street, Dharampeth",201585.0
1743.0,2,2,3.5,66,6.6,3,34.2,21.10443,79.04206,Sai Reddy,+91 990728 4129,"131, Lake View Lane, Hingna Road",256229.0
2411.0,2,2,1.0,45,15.3,5,28.9,21.12861,78.94146,Riya Kulkarni,+91 870985 0413,"52, Market Street, Pratap Nagar",305473.0
2363.0,5,5,1.5,13,0.5,5,81.7,21.14405,79.09265,Aditya Kulkarni,+91 837718 6677,"630, Station Road, Wardha Road",349614.0
1938.0,4,4,1.0,1,6.0,8,4.5,21.19191,79.11838,Anjali Joshi,+91 772697 4696,"572, Park Avenue, Wardha Road",351282.0
2376.0,3,3,1.0,32,4.8,9,35.9,21.18738,79.0739,Ritu Patel,+91 678333 3649,"545, Church Street, Pratap Nagar",379050.0
2119.0,3,3,1.0,47,32.4,7,71.2,20.92385,79.29113,Sai Patel,+91 666980 9832,"475, Market Street, Trimurti Nagar",251263.0
2580.0,5,5,1.5,67,2.4,2,40.7,21.12725,79.07664,Rohan Gupta,+91 759652 8702,"592, Church Street, Dharampeth",337301.0
1988.0,3,3,2.5,70,6.0,7,14.4,21.13131,79.03218,Priya Sharma,+91 787451 8656,"440, College Road, Civil Lines",339468.0
1569.0,2,2,2.5,36,1.6,4,61.1,21.15446,79.07625,Vikram Rao,+91 654148 0485,"137, Civil Lines, Trimurti Nagar",271020.0
2018.0,1,1,2.5,33,6.2,1,52.3,21.17538,79.03729,Sneha Nair,+91 608041 2328,"569, Sunrise Boulevard, Trimurti Nagar",224043.0
400.0,2,2,1.0,74,13.1,2,98.2,21.09905,79.20387,Aarav Iyer,+91 853243 8264,"43, Station Road, Sitabuldi",67634.0
2049.0,4,4,1.0,62,9.8,10,74.9,21.06827,79.04323,Aarav Bose,+91 824157 5050,"64, Park Avenue, Sadar",298830.0
400.0,3,3,3.5,16,0.5,5,98.6,21.14386,79.09256,Kabir Gupta,+91 636995 2835,"566, Station Road, Trimurti Nagar",126834.0
680.0,3,3,2.5,54,0.5,3,18.6,21.14502,79.09296,Vikram Agarwal,+91 913478 1590,"703, Market Street, Sitabuldi",178103.0
2094.0,3,3,1.0,57,8.7,2,76.2,21.12303,79.00797,Arjun Patel,+91 957164 6710,"81, Market Street, Hingna Road",310768.0
2110.0,5,5,3.0,18,7.7,7,55.2,21.10146,79.03065,Anjali Mehta,+91 932296 3611,"376, Ring Road, Trimurti Nagar",375601.0
1044.0,5,5,3.5,78,5.6,8,71.3,21.10394,79.05826,Sai Agarwal,+91 604655 1659,"928, Park Avenue, Civil Lines",204365.0
1337.0,1,1,3.0,23,2.2,4,46.8,21.12894,79.09954,Anjali Agarwal,+91 720411 2648,"780, Lake View Lane, Pratap Nagar",188224.0
2691.0,1,1,1.5,43,0.5,2,21.2,21.14201,79.08559,Ritu Joshi,+91 619458 4129,"802, Ring Road, Sadar",318413.0
1485.0,2,2,2.5,39,12.3,4,4.6,21.21913,79.17778,Amit Gupta,+91 609653 8072,"655, Market Street, Ramdaspeth",255887.0
3258.0,5,5,3.0,55,7.6,7,83.8,21.12169,79.15653,Rohan Iyer,+91 930511 3498,"180, Green Valley Road, Trimurti Nagar",493544.0
1799.0,3,3,3.0,72,11.8,2,81.5,21.05603,79.02791,Vivaan Nair,+91 945737 6793,"387, Station Road, Gandhibagh",210802.0
2065.0,5,5,1.5,31,10.8,3,16.3,21.075,79.15941,Rohan Agarwal,+91 605301 5935,"597, Sunrise Boulevard, Laxmi Nagar",312997.0
2851.0,4,4,3.0,30,5.8,1,64.5,21.16946,79.03861,Sneha Iyer,+91 711761 5503,"666, Lake View Lane, Hingna Road",384724.0
1885.0,3,3,2.0,60,4.1,5,73.8,21.15164,79.04909,Rahul Agarwal,+91 683760 9961,"132, Church Street, Trimurti Nagar",256921.0
1148.0,2,2,2.0,76,0.7,2,55.8,21.13966,79.08554,Suman Bose,+91 980546 1852,"969, Hill Top Road, Wardha Road",192851.0
1729.0,2,2,2.5,72,5.0,2,31.7,21.10107,79.09623,Ritu Verma,+91 836129 8354,"935, Ring Road, Manish Nagar",246736.0
1777.0,1,1,3.5,60,5.1,2,88.1,21.16749,79.13149,Sai Bose,+91 722182 1619,"37, Civil Lines, Wardha Road",225502.0
913.0,3,3,1.0,56,2.2,8,64.2,21.15661,79.0706,Diya Joshi,+91 984118 4518,"589, Sunrise Boulevard, Laxmi Nagar",237575.0
1634.0,2,2,2.5,61,16.5,5,72.0,20.99867,79.10798,Vikram Mehta,+91 650090 2008,"143, Hill Top Road, Trimurti Nagar",178351.0
1318.0,2,2,3.0,74,8.7,10,65.2,21.14197,79.17232,Vikram Reddy,+91 773123 7540,"318, Green Valley Road, Pratap Nagar",225288.0
2401.0,1,1,2.0,0,1.1,4,72.1,21.14654,79.09902,Sai Iyer,+91 812248 4350,"885, MG Road, Wardha Road",322609.0
1822.0,4,4,1.0,47,21.2,3,14.5,21.33613,79.06916,Aarav Joshi,+91 770394 7283,"680, College Road, Hingna Road",249493.0
1616.0,5,5,1.0,2,6.9,3,92.3,21.15941,79.02322,Aditya Patel,+91 820350 1375,"352, Park Avenue, Gandhibagh",261457.0
1731.0,3,3,2.5,46,2.6,10,28.6,21.16869,79.09241,Sanjay Kulkarni,+91 600032 1456,"3, MG Road, Manish Nagar",325188.0
1945.0,3,3,3.5,31,23.4,6,83.7,21.18123,79.31062,Ananya Kulkarni,+91 896998 3008,"835, Lake View Lane, Trimurti Nagar",262048.0
2201.0,5,5,2.0,24,5.0,4,89.3,21.13473,79.04142,Amit Sharma,+91 883740 6014,"288, Church Street, Manish Nagar",322676.0
1150.0,3,3,3.5,71,14.6,7,65.1,21.03962,79.00483,Sanjay Gupta,+91 603750 2999,"605, Sunrise Boulevard, Wardha Road",172957.0
1123.0,4,4,2.5,56,8.0,6,59.8,21.18188,79.02178,Anjali Rao,+91 754791 8618,"234, Green Valley Road, Sitabuldi",168493.0
2518.0,3,3,2.5,45,2.1,2,10.9,21.15972,79.07421,Neha Deshmukh,+91 700354 2641,"789, Market Street, Gandhibagh",385844.0
1532.0,3,3,1.0,70,10.0,8,43.6,21.13764,79.18473,Sneha Reddy,+91 883637 2208,"346, Park Avenue, Pratap Nagar",238542.0
879.0,3,3,2.0,7,2.6,2,61.2,21.14911,79.06325,Rohan Chauhan,+91 776604 8208,"739, Market Street, Laxmi Nagar",181762.0
2088.0,4,4,1.0,51,3.2,2,8.2,21.11863,79.09728,Ritu Joshi,+91 706870 8080,"86, Station Road, Sitabuldi",311827.0
2101.0,4,4,3.0,12,4.1,8,11.1,21.18199,79.07897,Anjali Joshi,+91 648200 3324,"615, Civil Lines, Laxmi Nagar",365987.0
805.0,3,3,1.0,18,3.8,5,99.3,21.11567,79.10601,Diya Verma,+91 935238 7738,"967, MG Road, Hingna Road",177848.0
1949.0,1,1,3.0,14,7.4,3,33.2,21.08651,79.11994,Ananya Mehta,+91 837736 1356,"473, Hill Top Road, Ramdaspeth",317075.0
2278.0,5,5,1.0,43,12.0,1,35.0,21.25334,79.07532,Amit Agarwal,+91 837680 5742,"467, Green Valley Road, Gandhibagh",353884.0
2043.0,5,5,2.5,50,4.5,6,25.2,21.11194,79.06381,Diya Gupta,+91 754494 2015,"685, Hill Top Road, Wardha Road",344564.0
2211.0,1,1,1.5,60,5.7,7,64.6,21.09944,79.06557,Amit Joshi,+91 821325 0998,"855, Market Street, Wardha Road",334824.0
887.0,2,2,1.5,35,0.9,3,47.3,21.1487,79.07996,Aditya Sharma,+91 617077 2491,"810, Lake View Lane, Pratap Nagar",148867.0
2015.0,5,5,3.0,75,6.0,5,79.0,21.09265,79.09678,Arjun Gupta,+91 753169 5551,"60, Market Street, Sadar",291396.0
1603.0,2,2,1.5,29,1.7,4,51.2,21.16042,79.08235,Vikram Verma,+91 727520 1527,"296, Station Road, Manish Nagar",279718.0
1486.0,5,5,2.5,12,3.2,9,1.5,21.14861,79.05779,Ritu Deshmukh,+91 751200 7382,"844, Church Street, Dharampeth",332693.0
2366.0,4,4,3.5,2,3.4,8,48.3,21.1439,79.12113,Aarav Bose,+91 835241 0821,"973, Hill Top Road, Manish Nagar",391599.0
2762.0,5,5,2.5,10,6.2,3,5.5,21.19598,79.11407,Vikram Sharma,+91 724478 2211,"652, MG Road, Hingna Road",405671.0
2966.0,1,1,1.5,35,10.8,6,82.7,21.22401,79.15093,Vivaan Kulkarni,+91 800468 3266,"5, Hill Top Road, Laxmi Nagar",378909.0
